အင်္ဂလိပ်,Myanmar,REMARK
DHAN,ဓန်,Byee-Thara
DHANN,ဓန်း,Byee-Thara
DHANT,ဓန့်,Byee-Thara
DHAR,ဓါ,Byee-Thara
DHAT,ဓါက်,Byee-Thara
DHAUK,ဓေါက်,Byee-Thara
DHAW,ဓေါ,Byee-Thara
DHAY,ဓေ,Byee-Thara
DHE,ဓီ,Byee-Thara
DHEE,ဓီး,Byee-Thara
DHEIK,ဓိတ်,Byee-Thara
DHEIN,ဓိန်း,Byee-Thara
DHEINT,ဓိမ့်,Byee-Thara
DHET,ဓက်,Byee-Thara
DHI,ဓိ,Byee-Thara
DHIN,ဓင်,Byee-Thara
DHINE,ဓိုင်,Byee-Thara
DHINN,ဓင်း,Byee-Thara
DHINT,ဓင့်,Byee-Thara
DHIT,ဓစ်,Byee-Thara
DHLAING,ဓှိုင်,Byee-Thara
DHO,ဓို,Byee-Thara
DHOE,ဓိုး,Byee-Thara
DHOH,ဓို့,Byee-Thara
DHOHT,ဓို့,Byee-Thara
DHOKE,ဓုတ်,Byee-Thara
DHON,ဓွန်,Byee-Thara
DHONE,ဓုန်,Byee-Thara
DHONT,ဓွန့်,Byee-Thara
DHOO,ဓူး,Byee-Thara
DHU,ဓု,Byee-Thara
DHUN,ဓွန်,Byee-Thara
DHUNN,ဓွန်း,Byee-Thara
DHUU,ဓူး,Byee-Thara
DHWA,ဓွ,Byee-Thara
DHWAN,ဓွမ်,Byee-Thara
DHWE,ဓွေ,Byee-Thara
DHY,ဓိုင်,Byee-Thara
DHYA,ဓျ,Byee-Thara
DHYAW,ဓော်,Byee-Thara
DHYAWE,ဓွယ်,Byee-Thara
DHYAWT,ဓော့,Byee-Thara
DHYAY,ဓေ,Byee-Thara
DHYE,ဓျေး,Byee-Thara
DHYO,ဓိုး,Byee-Thara
DHYU,ဓျူ,Byee-Thara
DI,ဒီ,
DIANA,ဒိုင်ယာနာ,
DIAZ,ဒီးယက်ဇ်,
DII,ဒီး,
DIKE,ဒိုက်,
DIL,ဒေးလ်,
DILARAM,ဒီလာရမ်,
DIM,ဒင်,
DIN,ဒင်,
DINE,ဒိုင်း,
DINESH,ဒင်းနစ်ချ်,
DING,ဒင်း,
DINN,ဒင်း,Byee-Thara
DINT,ဒင့်,
DISMUKE,ဒီစမူကီ,
DIT,ဒစ်,
DIZINBAR,ဒီဇင်ဘာ,
DLAING,ဒှိုင်,Byee-Thara
DO,ဒို,
DOE,ဒိုး,
DOH,ဂို့ထ်,
DOHT,ဒို့,Byee-Thara
DOI,ဒွယ်,
DOKE,ဒုတ်,Byee-Thara
DOL,ဒေါ်,mmaws
DOLLY,ဒေါလ်လီ,
DON,ဒွန်,
DONALD,ဒေါ်နယ်ဒ်,
DONE,ဒုန်,Byee-Thara
DONG,ဒေါင်,
DONT,ဒွန့်,Byee-Thara
DOO,ဒူး,Byee-Thara
DOON,ဒွန်း,
DOORNEKAMP,ဒိုးနီကမ့်,
DORAN,ဒိုရန်,
DORATHY,ဒိုရသီ,
DORIS,ဒိုရီစ်,
DOU,ဒိုး,
DOUK,တောက်,mmaws
DOUN,ဒွန်း,
DOVE,ဒို့ဗ်,mmaws
DR,ဒေါက်တာ,
DR.,ဒေါက်တာ,
DRA,ဒြာ,
DRAR,န္ဒြာ,
DRAY,န္ဒြေ,
